event_id	season	stage	type	date	name	site	num_drivers	laps	lap_distance	course_type	weather
1950-01-Q	1950	1	Q	1950-05-13	British_Grand_Prix	Silverstone Circuit	21	24	4.649	road	dry
1950-01-R	1950	1	R	1950-05-13	British_Grand_Prix	Silverstone Circuit	21	70	4.649	road	dry
1950-02-Q	1950	2	Q	1950-05-21	Grand_Prix_of_Monaco	Circuit de Monaco	21	24	3.18	street	dry
1950-02-R	1950	2	R	1950-05-21	Grand_Prix_of_Monaco	Circuit de Monaco	21	100	3.18	street	dry
1950-03-Q	1950	3	Q	1950-05-30	Indianapolis_500	Indianapolis Motor Speedway	33	24	-1	road	wet
1950-03-R	1950	3	R	1950-05-30	Indianapolis_500	Indianapolis Motor Speedway	33	138	-1	road	wet
1950-04-Q	1950	4	Q	1950-06-04	Grand_Prix_of_Switzerland	Bremgarten Circuit	18	24	7.28	road	dry
1950-04-R	1950	4	R	1950-06-04	Grand_Prix_of_Switzerland	Bremgarten Circuit	18	42	7.28	road	dry
1950-05-Q	1950	5	Q	1950-06-18	Grand_Prix_of_Belgium	Circuit de Spa Francorchamps	14	24	14.12	street	dry
1950-05-R	1950	5	R	1950-06-18	Grand_Prix_of_Belgium	Circuit de Spa Francorchamps	14	35	14.12	street	dry
1950-06-Q	1950	6	Q	1950-07-02	Grand_Prix_of_France	Circuit de Reims	19	24	7.815	street	dry
1950-06-R	1950	6	R	1950-07-02	Grand_Prix_of_France	Circuit de Reims	19	64	7.815	street	dry
1950-07-Q	1950	7	Q	1950-09-03	Grand_Prix_of_Italy	Autodromo Nazionale di Monza	27	24	6.3	road	dry
1950-07-R	1950	7	R	1950-09-03	Grand_Prix_of_Italy	Autodromo Nazionale di Monza	27	80	6.3	road	dry
1951-01-Q	1951	1	Q	1951-05-27	Grand_Prix_of_Switzerland	Bremgarten Circuit	21	24	7.28	road	wet
1951-01-R	1951	1	R	1951-05-27	Grand_Prix_of_Switzerland	Bremgarten Circuit	21	42	7.28	road	wet
1951-02-Q	1951	2	Q	1951-05-30	Indianapolis_500	Indianapolis Motor Speedway	33	24	-1	road	dry
1951-02-R	1951	2	R	1951-05-30	Indianapolis_500	Indianapolis Motor Speedway	33	200	-1	road	dry
1951-03-Q	1951	3	Q	1951-06-17	Grand_Prix_of_Belgium	Circuit de Spa Francorchamps	13	24	14.12	street	dry
1951-03-R	1951	3	R	1951-06-17	Grand_Prix_of_Belgium	Circuit de Spa Francorchamps	13	36	14.12	street	dry
1951-04-Q	1951	4	Q	1951-07-01	Grand_Prix_of_France	Circuit de Reims	24	24	7.815	street	dry
1951-04-R	1951	4	R	1951-07-01	Grand_Prix_of_France	Circuit de Reims	24	77	7.815	street	dry
1951-05-Q	1951	5	Q	1951-07-14	British_Grand_Prix	Silverstone Circuit	20	24	4.649	road	dry
