driver_id	team_id
Alexander_Albon	Williams_Racing
Carlos_Sainz_Jr	Scuderia_Ferrari
Charles_Leclerc	Scuderia_Ferrari
Daniel_Ricciardo	McLaren_F1_Team
Esteban_Ocon	BWT_Alpine_F1_Team
Fernando_Alonso	BWT_Alpine_F1_Team
George_Russell	Mercedes_AMG_Petronas_F1_Team
Guanyu_Zhou	Alfa_Romeo_Racing_ORLEN
Kevin_Magnussen	Haas_F1_Team
Lance_Stroll	Aston_Martin_Aramco_Cognizant_F1_Team
Lando_Norris	McLaren_F1_Team
Lewis_Hamilton	Mercedes_AMG_Petronas_F1_Team
Max_Verstappen	Oracle_Red_Bull_Racing
Mick_Schumacher	Haas_F1_Team
Nicholas_Latifi	Williams_Racing
Pierre_Gasly	Scuderia_AlphaTauri
Sebastian_Vettel	Aston_Martin_Aramco_Cognizant_F1_Team
Sergio_Perez	Oracle_Red_Bull_Racing
Valtteri_Bottas	Alfa_Romeo_Racing_ORLEN
Yuki_Tsunoda	Scuderia_AlphaTauri
