event_id	driver_id	num_places
2023-02-RA	Charles_Leclerc	10
2023-04-RA	Esteban_Ocon	50
2023-04-RA	Nico_Hulkenberg	50
2023-06-RA	Charles_Leclerc	3
2023-07-RA	Pierre_Gasly	6
2023-07-RA	Charles_Leclerc	1
2023-08-RA	Nico_Hulkenberg	3
2023-08-RA	Carlos_Sainz_Jr	3
2023-08-RA	Lance_Stroll	3
2023-08-RA	Yuki_Tsunoda	3
2023-10-RA	Valtteri_Bottas	5
2023-12-RA	Max_Verstappen	5
2023-13-RA	Yuki_Tsunoda	3
2023-13-RA	Kevin_Magnussen	50
2023-19-RA	Yuki_Tsunoda	5
2023-19-RA	Lance_Stroll	20
2023-19-RA	Logan_Sargeant	10
2023-20-RA	Esteban_Ocon	2
2023-20-RA	Pierre_Gasly	2
2023-20-RA	George_Russell	2
