team_id	elo_adjust	mode
Alfa_Romeo_Racing_ORLEN	0.0	current
Aston_Martin_Aramco_Cognizant_F1_Team	0.0	current
BWT_Alpine_F1_Team	0.0	current
Haas_F1_Team	0.0	current
McLaren_F1_Team	0.0	current
Mercedes_AMG_Petronas_F1_Team	0.0	current
Oracle_Red_Bull_Racing	0.0	current
Scuderia_AlphaTauri	0.0	current
Scuderia_Ferrari	0.0	current
Williams_Racing	0.0	current
Alfa_Romeo_Racing_ORLEN	-1.12	target
Aston_Martin_Aramco_Cognizant_F1_Team	-4.10	target
BWT_Alpine_F1_Team	5.30	target
Haas_F1_Team	0.21	target
McLaren_F1_Team	-6.32	target
Mercedes_AMG_Petronas_F1_Team	10.52	target
Oracle_Red_Bull_Racing	14.25	target
Scuderia_AlphaTauri	-2.02	target
Scuderia_Ferrari	15.67	target
Williams_Racing	-13.38	target
